Sequence Name	Annotation GO ID	Annotation GO Term	Annotation GO Category
CSH1-10g45249	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45249	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45250	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45250	GO:0016020	membrane	Cellular Component
CSH1-10g45250	GO:0016567	protein ubiquitination	Biological Process
CSH1-10g45250	GO:0016740	transferase activity	Molecular Function
CSH1-10g45261			
CSH1-10g45270			
CSH1-10g45279			
CSH1-10g45283			
CSH1-10g45285			
CSH1-10g45288			
CSH1-10g45291	GO:0005886	plasma membrane	Cellular Component
CSH1-10g45291	GO:0098542	defense response to other organism	Biological Process
CSH1-10g45293	GO:0016020	membrane	Cellular Component
CSH1-10g45297			
CSH1-10g45302			
CSH1-10g45327			
CSH1-10g45338	GO:0016020	membrane	Cellular Component
CSH1-10g45343			
CSH1-10g45350	GO:0016020	membrane	Cellular Component
CSH1-10g45357			
CSH1-10g45358			
CSH1-10g45359			
CSH1-10g45361			
CSH1-10g45365			
CSH1-10g45366	GO:0003824	catalytic activity	Molecular Function
CSH1-10g45372	GO:0004175	endopeptidase activity	Molecular Function
CSH1-10g45372	GO:0005737	cytoplasm	Cellular Component
CSH1-10g45372	GO:0016706	2-oxoglutarate-dependent dioxygenase activity	Molecular Function
CSH1-10g45377			
CSH1-10g45378			
CSH1-10g45380			
CSH1-10g45381			
CSH1-10g45387	GO:0016020	membrane	Cellular Component
CSH1-10g45404			
CSH1-10g45405			
CSH1-10g45417	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-10g45417	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-10g45417	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45423			
CSH1-10g45424			
CSH1-10g45429			
CSH1-10g45431			
CSH1-10g45435			
CSH1-10g45436			
CSH1-10g45437			
CSH1-10g45442			
CSH1-10g45450			
CSH1-10g45453			
CSH1-10g45460			
CSH1-10g45461			
CSH1-10g45466			
CSH1-10g45474	GO:0006397	mRNA processing	Biological Process
CSH1-10g45474	GO:0016788	hydrolase activity, acting on ester bonds	Molecular Function
CSH1-10g45475			
CSH1-10g45476	GO:0003677	DNA binding	Molecular Function
CSH1-10g45476	GO:0003924	GTPase activity	Molecular Function
CSH1-10g45476	GO:0005525	GTP binding	Molecular Function
CSH1-10g45476	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45488			
CSH1-10g45490			
CSH1-10g45491			
CSH1-10g45494	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45494	GO:0034244	negative regulation of transcription elongation by RNA polymerase II	Biological Process
CSH1-10g45494	GO:0140566	histone reader activity	Molecular Function
CSH1-10g45511			
CSH1-10g45512			
CSH1-10g45513			
CSH1-10g45514			
CSH1-10g45520			
CSH1-10g45528			
CSH1-10g45543			
CSH1-10g45547			
CSH1-10g45548	GO:0016746	acyltransferase activity	Molecular Function
CSH1-10g45556	GO:0016746	acyltransferase activity	Molecular Function
CSH1-10g45565			
CSH1-10g45567			
CSH1-10g45577			
CSH1-10g45578			
CSH1-10g45596			
CSH1-10g45604	GO:0016020	membrane	Cellular Component
CSH1-10g45610			
CSH1-10g45613	GO:0016787	hydrolase activity	Molecular Function
CSH1-10g45625	GO:0016020	membrane	Cellular Component
CSH1-10g45626			
CSH1-10g45628	GO:0016020	membrane	Cellular Component
CSH1-10g45633			
CSH1-10g45637			
CSH1-10g45640			
CSH1-10g45644	GO:0016020	membrane	Cellular Component
CSH1-10g45651			
CSH1-10g45652			
CSH1-10g45664	GO:0003824	catalytic activity	Molecular Function
CSH1-10g45664	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45665			
CSH1-10g45678			
CSH1-10g45680			
CSH1-10g45684			
CSH1-10g45690			
CSH1-10g45694			
CSH1-10g45696			
CSH1-10g45708			
CSH1-10g45711			
CSH1-10g45719			
CSH1-10g45721			
CSH1-10g45729	GO:0016301	kinase activity	Molecular Function
CSH1-10g45733			
CSH1-10g45736			
CSH1-10g45739			
CSH1-10g45745			
CSH1-10g45747			
CSH1-10g45748			
CSH1-10g45749	GO:0003735	structural constituent of ribosome	Molecular Function
CSH1-10g45749	GO:0005840	ribosome	Cellular Component
CSH1-10g45749	GO:0006412	translation	Biological Process
CSH1-10g45749	GO:1990904	ribonucleoprotein complex	Cellular Component
CSH1-10g45754			
CSH1-10g45755			
CSH1-10g45759			
CSH1-10g45768			
CSH1-10g45777			
CSH1-10g45784			
CSH1-10g45797			
CSH1-10g45803	GO:0016020	membrane	Cellular Component
CSH1-10g45805			
CSH1-10g45808			
CSH1-10g45809	GO:0016020	membrane	Cellular Component
CSH1-10g45810			
CSH1-10g45811	GO:0016020	membrane	Cellular Component
CSH1-10g45818			
CSH1-10g45820	GO:0016020	membrane	Cellular Component
CSH1-10g45823	GO:0016020	membrane	Cellular Component
CSH1-10g45828			
CSH1-10g45832			
CSH1-10g45833			
CSH1-10g45836			
CSH1-10g45838	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-10g45838	GO:0046872	metal ion binding	Molecular Function
CSH1-10g45841	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45841	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g45843			
CSH1-10g45850			
CSH1-10g45851	GO:0016020	membrane	Cellular Component
CSH1-10g45867			
CSH1-10g45871			
CSH1-10g45875			
CSH1-10g45876			
CSH1-10g45879			
CSH1-10g45885	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45885	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45888	GO:0016020	membrane	Cellular Component
CSH1-10g45888	GO:0016757	glycosyltransferase activity	Molecular Function
CSH1-10g45893	GO:0016020	membrane	Cellular Component
CSH1-10g45901			
CSH1-10g45903	GO:0000139	Golgi membrane	Cellular Component
CSH1-10g45903	GO:0005886	plasma membrane	Cellular Component
CSH1-10g45903	GO:0006892	post-Golgi vesicle-mediated transport	Biological Process
CSH1-10g45903	GO:0008526	phosphatidylinositol transfer activity	Molecular Function
CSH1-10g45903	GO:0015031	protein transport	Biological Process
CSH1-10g45903	GO:0015914	phospholipid transport	Biological Process
CSH1-10g45903	GO:0120009	intermembrane lipid transfer	Biological Process
CSH1-10g45907			
CSH1-10g45908	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45908	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45910			
CSH1-10g45917			
CSH1-10g45918			
CSH1-10g45920			
CSH1-10g45922	GO:0016020	membrane	Cellular Component
CSH1-10g45928	GO:0005776	autophagosome	Cellular Component
CSH1-10g45928	GO:0005874	microtubule	Cellular Component
CSH1-10g45928	GO:0006914	autophagy	Biological Process
CSH1-10g45928	GO:0016020	membrane	Cellular Component
CSH1-10g45930	GO:0016020	membrane	Cellular Component
CSH1-10g45938			
CSH1-10g45940			
CSH1-10g45941			
CSH1-10g45942			
CSH1-10g45943			
CSH1-10g45946			
CSH1-10g45949			
CSH1-10g45952	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45952	GO:0015074	DNA integration	Biological Process
CSH1-10g45958			
CSH1-10g45960	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45960	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g45963			
CSH1-10g45964	GO:0006397	mRNA processing	Biological Process
CSH1-10g45964	GO:0016788	hydrolase activity, acting on ester bonds	Molecular Function
CSH1-10g45966			
CSH1-10g45975			
CSH1-10g45977			
CSH1-10g45986			
CSH1-10g45987			
CSH1-10g45989			
CSH1-10g45990			
CSH1-10g45998			
CSH1-10g46007			
CSH1-10g46008			
CSH1-10g46011			
CSH1-10g46028			
CSH1-10g46029	GO:0003677	DNA binding	Molecular Function
CSH1-10g46029	GO:0003700	DNA-binding transcription factor activity	Molecular Function
CSH1-10g46029	GO:0005634	nucleus	Cellular Component
CSH1-10g46029	GO:0006355	regulation of DNA-templated transcription	Biological Process
CSH1-10g46029	GO:0009873	ethylene-activated signaling pathway	Biological Process
CSH1-10g46030	GO:0005886	plasma membrane	Cellular Component
CSH1-10g46030	GO:0006869	lipid transport	Biological Process
CSH1-10g46030	GO:0008289	lipid binding	Molecular Function
CSH1-10g46030	GO:0098552	side of membrane	Cellular Component
CSH1-10g46031			
CSH1-10g46043			
CSH1-10g46048			
CSH1-10g46055			
CSH1-10g46056			
CSH1-10g46059			
CSH1-10g46060	GO:0004497	monooxygenase activity	Molecular Function
CSH1-10g46060	GO:0005506	iron ion binding	Molecular Function
CSH1-10g46060	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Molecular Function
CSH1-10g46060	GO:0020037	heme binding	Molecular Function
CSH1-10g46061	GO:0016020	membrane	Cellular Component
CSH1-10g46061	GO:0016853	isomerase activity	Molecular Function
CSH1-10g46070	GO:0016020	membrane	Cellular Component
CSH1-10g46071			
CSH1-10g46075			
CSH1-10g46076	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46076	GO:0009987	cellular process	Biological Process
CSH1-10g46076	GO:0016020	membrane	Cellular Component
CSH1-10g46078			
CSH1-10g46082			
CSH1-10g46084			
CSH1-10g46090			
CSH1-10g46091			
CSH1-10g46093			
CSH1-10g46096			
CSH1-10g46107			
CSH1-10g46111			
CSH1-10g46112			
CSH1-10g46113			
CSH1-10g46116	GO:0016020	membrane	Cellular Component
CSH1-10g46120	GO:0016597	amino acid binding	Molecular Function
CSH1-10g46120	GO:0016779	nucleotidyltransferase activity	Molecular Function
CSH1-10g46128			
CSH1-10g46131	GO:0004674	protein serine/threonine kinase activity	Molecular Function
CSH1-10g46131	GO:0005524	ATP binding	Molecular Function
CSH1-10g46131	GO:0016020	membrane	Cellular Component
CSH1-10g46131	GO:0048544	recognition of pollen	Biological Process
CSH1-10g46132			
CSH1-10g46136			
CSH1-10g46137			
CSH1-10g46149			
CSH1-10g46156	GO:0003677	DNA binding	Molecular Function
CSH1-10g46156	GO:0004519	endonuclease activity	Molecular Function
CSH1-10g46156	GO:0006281	DNA repair	Biological Process
CSH1-10g46161			
CSH1-10g46164			
CSH1-10g46166			
CSH1-10g46173			
CSH1-10g46176	GO:0003723	RNA binding	Molecular Function
CSH1-10g46176	GO:0009451	RNA modification	Biological Process
CSH1-10g46184	GO:0003723	RNA binding	Molecular Function
CSH1-10g46184	GO:0022625	cytosolic large ribosomal subunit	Cellular Component
CSH1-10g46184	GO:0042254	ribosome biogenesis	Biological Process
CSH1-10g46187			
CSH1-10g46188			
CSH1-10g46191			
CSH1-10g46201			
CSH1-10g46202			
CSH1-10g46205			
CSH1-10g46212			
CSH1-10g46216			
CSH1-10g46229	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46229	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g46242	GO:0004252	serine-type endopeptidase activity	Molecular Function
CSH1-10g46242	GO:0005576	extracellular region	Cellular Component
CSH1-10g46242	GO:0006508	proteolysis	Biological Process
CSH1-10g46248	GO:0005488	binding	Molecular Function
CSH1-10g46249	GO:0003824	catalytic activity	Molecular Function
CSH1-10g46256			
CSH1-10g46257			
CSH1-10g46265			
CSH1-10g46274	GO:0003824	catalytic activity	Molecular Function
CSH1-10g46274	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46290			
CSH1-10g46292			
CSH1-10g46297	GO:0003700	DNA-binding transcription factor activity	Molecular Function
CSH1-10g46297	GO:0005634	nucleus	Cellular Component
CSH1-10g46297	GO:0006355	regulation of DNA-templated transcription	Biological Process
CSH1-10g46297	GO:0043565	sequence-specific DNA binding	Molecular Function
CSH1-10g46305			
CSH1-10g46314			
CSH1-10g46315	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46315	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46315	GO:0016779	nucleotidyltransferase activity	Molecular Function
CSH1-10g46315	GO:0016787	hydrolase activity	Molecular Function
CSH1-10g46317	GO:0005886	plasma membrane	Cellular Component
CSH1-10g46320			
CSH1-10g46321			
CSH1-10g46322			
CSH1-10g46324	GO:0009699	phenylpropanoid biosynthetic process	Biological Process
CSH1-10g46324	GO:0048046	apoplast	Cellular Component
CSH1-10g46326			
CSH1-10g46336			
CSH1-10g46340			
CSH1-10g46343			
CSH1-10g46344			
CSH1-10g46352	GO:0005856	cytoskeleton	Cellular Component
CSH1-10g46352	GO:0046872	metal ion binding	Molecular Function
CSH1-10g46352	GO:0051015	actin filament binding	Molecular Function
CSH1-10g46352	GO:0051017	actin filament bundle assembly	Biological Process
CSH1-10g46355	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46355	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g46358			
CSH1-10g46366			
CSH1-10g46367			
CSH1-10g46375			
CSH1-10g46376			
CSH1-10g46377			
CSH1-10g46394			
CSH1-10g46404			
CSH1-10g46408	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46408	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g46408	GO:0006310	DNA recombination	Biological Process
CSH1-10g46408	GO:0046872	metal ion binding	Molecular Function
CSH1-10g46409			
CSH1-10g46418	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46418	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-10g46418	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g46418	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-10g46421			
CSH1-10g46424			
CSH1-10g46431			
CSH1-10g46433			
CSH1-10g46436			
CSH1-10g46437			
CSH1-10g46443			
CSH1-10g46446			
CSH1-10g46450			
CSH1-10g46453			
CSH1-10g46459			
CSH1-10g46460			
CSH1-10g46461	GO:0016020	membrane	Cellular Component
CSH1-10g46470			
CSH1-10g46473			
CSH1-10g46485			
CSH1-10g46497	GO:0004674	protein serine/threonine kinase activity	Molecular Function
CSH1-10g46497	GO:0005524	ATP binding	Molecular Function
CSH1-10g46497	GO:0016020	membrane	Cellular Component
CSH1-10g46497	GO:0048544	recognition of pollen	Biological Process
CSH1-10g46512	GO:0005739	mitochondrion	Cellular Component
CSH1-10g46514			
CSH1-10g46517	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46517	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
CSH1-10g46517	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46521			
CSH1-10g46522			
CSH1-10g46528			
CSH1-10g46533			
CSH1-10g46540	GO:0016020	membrane	Cellular Component
CSH1-10g46548			
CSH1-10g46562			
CSH1-10g46565			
CSH1-10g46566			
CSH1-10g46567			
CSH1-10g46572			
CSH1-10g46573			
CSH1-10g46575			
CSH1-10g46576	GO:0016020	membrane	Cellular Component
CSH1-10g46577			
CSH1-10g46578			
CSH1-10g46585	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46586			
CSH1-10g46612			
CSH1-10g46615			
CSH1-10g46617			
CSH1-10g46618			
CSH1-10g46620			
CSH1-10g46626			
CSH1-10g46630			
CSH1-10g46633	GO:0005737	cytoplasm	Cellular Component
CSH1-10g46638			
CSH1-10g46640			
CSH1-10g46644			
CSH1-10g46653	GO:0003824	catalytic activity	Molecular Function
CSH1-10g46656			
CSH1-10g46660			
CSH1-10g46664			
CSH1-10g46665			
CSH1-10g46666			
CSH1-10g46672	GO:0003824	catalytic activity	Molecular Function
CSH1-10g46673			
CSH1-10g46683	GO:0003824	catalytic activity	Molecular Function
CSH1-10g46690			
CSH1-10g46706	GO:0003824	catalytic activity	Molecular Function
CSH1-10g46713			
CSH1-10g46716			
CSH1-10g46722			
CSH1-10g46725	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46726			
CSH1-10g46731			
CSH1-10g46734			
CSH1-10g46735	GO:0016853	isomerase activity	Molecular Function
CSH1-10g46736	GO:0016853	isomerase activity	Molecular Function
CSH1-10g46743			
CSH1-10g46747			
CSH1-10g46752			
CSH1-10g46753	GO:0016020	membrane	Cellular Component
CSH1-10g46757			
CSH1-10g46779			
CSH1-10g46786			
CSH1-10g46789			
CSH1-10g46795	GO:0004601	peroxidase activity	Molecular Function
CSH1-10g46795	GO:0006397	mRNA processing	Biological Process
CSH1-10g46795	GO:0006979	response to oxidative stress	Biological Process
CSH1-10g46795	GO:0016020	membrane	Cellular Component
CSH1-10g46795	GO:0098869	cellular oxidant detoxification	Biological Process
CSH1-10g46798			
CSH1-10g46812			
CSH1-10g46815			
CSH1-10g46816			
CSH1-10g46822			
CSH1-10g46823			
CSH1-10g46824			
CSH1-10g46835			
CSH1-10g46838			
CSH1-10g46839			
CSH1-10g46840			
CSH1-10g46860	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46860	GO:0016020	membrane	Cellular Component
CSH1-10g46860	GO:0016874	ligase activity	Molecular Function
CSH1-10g46865	GO:0003677	DNA binding	Molecular Function
CSH1-10g46865	GO:0005634	nucleus	Cellular Component
CSH1-10g46865	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g46865	GO:0009791	post-embryonic development	Biological Process
CSH1-10g46865	GO:0046983	protein dimerization activity	Molecular Function
CSH1-10g46868			
CSH1-10g46869			
CSH1-10g46870			
CSH1-10g46888	GO:0004518	nuclease activity	Molecular Function
CSH1-10g46888	GO:0005634	nucleus	Cellular Component
CSH1-10g46888	GO:0046872	metal ion binding	Molecular Function
CSH1-10g46896	GO:0005886	plasma membrane	Cellular Component
CSH1-10g46896	GO:0009506	plasmodesma	Cellular Component
CSH1-10g46896	GO:0098552	side of membrane	Cellular Component
CSH1-10g46901	GO:0016020	membrane	Cellular Component
CSH1-10g46901	GO:0055085	transmembrane transport	Biological Process
CSH1-10g46903	GO:0005634	nucleus	Cellular Component
CSH1-10g46903	GO:0006974	DNA damage response	Biological Process
CSH1-10g46908			
CSH1-10g46910			
CSH1-10g46911			
CSH1-10g46923			
CSH1-10g46929			
CSH1-10g46933			
CSH1-10g46935			
CSH1-10g46936			
CSH1-10g46938			
CSH1-10g46945	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-10g46945	GO:0006259	DNA metabolic process	Biological Process
CSH1-10g46951	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46951	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g46955			
CSH1-10g46963	GO:0005737	cytoplasm	Cellular Component
CSH1-10g46965	GO:0005737	cytoplasm	Cellular Component
CSH1-10g46966	GO:0005737	cytoplasm	Cellular Component
CSH1-10g46968			
CSH1-10g46980	GO:0016020	membrane	Cellular Component
CSH1-10g46984	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g46984	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-10g46984	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-10g46984	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-10g46984	GO:0015074	DNA integration	Biological Process
CSH1-10g46984	GO:0046872	metal ion binding	Molecular Function
CSH1-10g46987	GO:0003677	DNA binding	Molecular Function
CSH1-10g46987	GO:0005634	nucleus	Cellular Component
CSH1-10g46987	GO:0005737	cytoplasm	Cellular Component
CSH1-10g46987	GO:0046983	protein dimerization activity	Molecular Function
CSH1-10g46998			
CSH1-10g47001			
CSH1-10g47003	GO:0010073	meristem maintenance	Biological Process
CSH1-10g47004	GO:0016853	isomerase activity	Molecular Function
CSH1-10g47024	GO:0003677	DNA binding	Molecular Function
CSH1-10g47024	GO:0005634	nucleus	Cellular Component
CSH1-10g47025			
CSH1-10g47032			
CSH1-10g47037	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-10g47037	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-10g47040	GO:0000919	cell plate assembly	Biological Process
CSH1-10g47040	GO:0003924	GTPase activity	Molecular Function
CSH1-10g47040	GO:0005509	calcium ion binding	Molecular Function
CSH1-10g47040	GO:0005525	GTP binding	Molecular Function
CSH1-10g47040	GO:0005634	nucleus	Cellular Component
CSH1-10g47040	GO:0005743	mitochondrial inner membrane	Cellular Component
CSH1-10g47040	GO:0005828	kinetochore microtubule	Cellular Component
CSH1-10g47040	GO:0006325	chromatin organization	Biological Process
CSH1-10g47040	GO:0010968	regulation of microtubule nucleation	Biological Process
CSH1-10g47040	GO:0012505	endomembrane system	Cellular Component
CSH1-10g47040	GO:0016298	lipase activity	Molecular Function
CSH1-10g47040	GO:0032467	positive regulation of cytokinesis	Biological Process
CSH1-10g47040	GO:0060236	regulation of mitotic spindle organization	Biological Process
CSH1-10g47040	GO:0140496	gamma-tubulin complex binding	Molecular Function
CSH1-10g47040	GO:2000694	regulation of phragmoplast microtubule organization	Biological Process
CSH1-10g47044			
CSH1-10g47047			
CSH1-10g47048	GO:0046983	protein dimerization activity	Molecular Function
CSH1-10g47055			
CSH1-10g47062	GO:0005634	nucleus	Cellular Component
CSH1-10g47062	GO:0006950	response to stress	Biological Process
CSH1-10g47078			
CSH1-10g47091	GO:0016020	membrane	Cellular Component
CSH1-10g47092	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g47092	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-10g47092	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
CSH1-10g47092	GO:0004519	endonuclease activity	Molecular Function
CSH1-10g47092	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-10g47092	GO:0006508	proteolysis	Biological Process
CSH1-10g47092	GO:0015074	DNA integration	Biological Process
CSH1-10g47097	GO:0016746	acyltransferase activity	Molecular Function
